order_id,order_date,customer_id,product,category,quantity,unit_price,region
1001,2026-01-03,C001,Laptop,Electronics,1,899.99,North
1002,2026-01-04,C002,Mouse,Electronics,2,24.99,South
1003,2026-01-05,C003, Desk Chair ,Furniture,1,149.50, east 
1004,2026-01-06,C004,Keyboard,Electronics,1,49.99,West
1005,2026-01-07,C005,Monitor,Electronics,2,199.99,North
1005,2026-01-07,C005,Monitor,Electronics,2,199.99,North
1006,2026/01/08,C006,mouse,electronics,3,24.99,south
1007,2026-01-09,C007,Desk,Furniture,1,299.00,East
1008,2026-01-10,C008,Headphones,Electronics,,79.99,West
1009,2026-01-11,C009,Lamp,Home,2,$35.00,North
1010,2026-01-12,C010,Notebook,Stationery,5,4.50,South
1011,2026-02-01,C001,Laptop,Electronics,1,899.99,North
1012,2026-02-02,C002,Desk Chair,Furniture,-1,149.50,South
1013,2026-02-03,C003,Keyboard,Electronics,2,49.99,East
1014,2026-02-30,C004,Monitor,Electronics,1,199.99,West
1015,2026-02-05,C005,Pen Set,Stationery,3,8.99,
1016,2026-02-06,C006,Desk,Furniture,1,,South
1017,2026-02-07,C007,Headphones,Electronics,2,79.99,EAST
1018,2026-02-08,C008,Lamp,Home,1,35.00,West
1019,2026-02-09,C009,Notebook,Stationery,4,4.50,North
